,Time,seconds,day,year,month
297,2022-03-22 08:20:00,256.299,81,2022,3
298,2022-03-22 08:24:00,275.546,81,2022,3
299,2022-03-22 08:29:00,291.688,81,2022,3
300,2022-03-22 08:34:00,292.415,81,2022,3
301,2022-03-22 08:38:00,238.376,81,2022,3
302,2022-03-22 08:45:00,395.396,81,2022,3
303,2022-03-22 08:51:00,341.049,81,2022,3
304,2022-03-22 08:56:00,311.025,81,2022,3
305,2022-03-22 09:00:00,247.463,81,2022,3
306,2022-03-22 09:05:00,294.017,81,2022,3
307,2022-03-22 09:09:00,248.635,81,2022,3
308,2022-03-22 09:13:00,259.375,81,2022,3
309,2022-03-22 09:18:00,289.792,81,2022,3
310,2022-03-22 09:19:00,85.82,81,2022,3
311,2022-03-22 09:24:00,256.299,81,2022,3
312,2022-03-22 09:28:00,275.546,81,2022,3
313,2022-03-22 09:33:00,291.688,81,2022,3
314,2022-03-22 09:38:00,292.415,81,2022,3
315,2022-03-22 09:42:00,238.376,81,2022,3
316,2022-03-22 09:49:00,395.396,81,2022,3
317,2022-03-22 09:54:00,341.049,81,2022,3
318,2022-03-22 10:00:00,311.025,81,2022,3
319,2022-03-22 10:04:00,247.463,81,2022,3
320,2022-03-22 10:09:00,294.017,81,2022,3
321,2022-03-22 10:13:00,248.635,81,2022,3
322,2022-03-22 10:17:00,259.375,81,2022,3
323,2022-03-22 10:22:00,289.792,81,2022,3
324,2022-03-22 10:23:00,85.82,81,2022,3
325,2022-03-22 10:28:00,256.299,81,2022,3
326,2022-03-22 10:32:00,275.546,81,2022,3
327,2022-03-22 10:37:00,291.688,81,2022,3
328,2022-03-22 10:42:00,292.415,81,2022,3
329,2022-03-22 10:46:00,238.376,81,2022,3
330,2022-03-22 10:53:00,395.396,81,2022,3
331,2022-03-22 10:58:00,330.002,81,2022,3
332,2022-03-22 16:09:00,285.24,81,2022,3
333,2022-03-22 16:16:00,263.373,81,2022,3
334,2022-03-22 16:19:00,175.2,81,2022,3
335,2022-03-22 16:23:00,250.188,81,2022,3
336,2022-03-22 16:27:00,198.852,81,2022,3
337,2022-03-22 16:30:00,234.56,81,2022,3
338,2022-03-22 16:31:00,28.41,81,2022,3
339,2022-03-22 16:35:00,215.672,81,2022,3
340,2022-03-22 16:38:00,211.56,81,2022,3
341,2022-03-22 16:41:00,194.52,81,2022,3
342,2022-03-22 16:44:00,146.72,81,2022,3
343,2022-03-22 16:48:00,266.306,81,2022,3
344,2022-03-22 16:53:00,296.226,81,2022,3
345,2022-03-22 16:56:00,170.146,81,2022,3
346,2022-03-22 17:00:00,263.373,81,2022,3
347,2022-03-22 17:03:00,168.601,81,2022,3
348,2022-03-22 17:05:00,83.054,81,2022,3
349,2022-03-22 17:08:00,176.513,81,2022,3
350,2022-03-22 17:11:00,201.159,81,2022,3
351,2022-03-22 17:14:00,1.515,81,2022,3
352,2022-03-22 17:14:00,186.351,81,2022,3
353,2022-03-22 17:14:00,1.824,81,2022,3
354,2022-03-22 17:18:00,222.586,81,2022,3
355,2022-03-22 17:18:00,9.539,81,2022,3
356,2022-03-22 17:18:00,4.349,81,2022,3
357,2022-03-22 17:19:00,24.742,81,2022,3
358,2022-03-22 17:20:00,44.73,81,2022,3
359,2022-03-22 17:21:00,51.806,81,2022,3
360,2022-03-22 17:25:00,251.033,81,2022,3
361,2022-03-22 17:29:00,257.84,81,2022,3
362,2022-03-22 17:31:00,1.894,81,2022,3
363,2022-03-22 17:31:00,105.888,81,2022,3
364,2022-03-22 17:34:00,192.12,81,2022,3
365,2022-03-22 17:37:00,171.333,81,2022,3
366,2022-03-22 17:41:00,222.091,81,2022,3
368,2022-03-22 17:42:00,1.84,81,2022,3
367,2022-03-22 17:42:00,45.684,81,2022,3
369,2022-03-22 17:45:00,202.533,81,2022,3
370,2022-03-22 17:49:00,220.44,81,2022,3
371,2022-03-22 17:53:00,233.712,81,2022,3
372,2022-03-22 17:56:00,209.16,81,2022,3
373,2022-03-22 17:57:00,48.387,81,2022,3
374,2022-03-22 18:01:00,247.426,81,2022,3
375,2022-03-22 18:05:00,227.48,81,2022,3
376,2022-03-22 18:09:00,227.266,81,2022,3
377,2022-03-22 18:10:00,71.587,81,2022,3
378,2022-03-22 18:15:00,305.746,81,2022,3
379,2022-03-22 18:18:00,201.241,81,2022,3
380,2022-03-22 18:24:00,288.042,81,2022,3
381,2022-03-22 18:32:00,210.004,81,2022,3
382,2022-03-22 18:32:00,1.471,81,2022,3
383,2022-03-22 18:37:00,0.622,81,2022,3
384,2022-03-22 18:37:00,226.912,81,2022,3
385,2022-03-22 18:39:00,123.986,81,2022,3
386,2022-03-22 18:41:00,118.398,81,2022,3
387,2022-03-22 18:44:00,222.036,81,2022,3
388,2022-03-22 18:45:00,57.187,81,2022,3
389,2022-03-22 18:48:00,164.579,81,2022,3
390,2022-03-22 18:52:00,251.466,81,2022,3
391,2022-03-22 18:57:00,302.12,81,2022,3
392,2022-03-22 18:57:00,10.658,81,2022,3
393,2022-03-22 18:57:00,1.737,81,2022,3
394,2022-03-22 19:01:00,188.013,81,2022,3
395,2022-03-22 19:03:00,165.053,81,2022,3
396,2022-03-22 19:09:00,318.36,81,2022,3
397,2022-03-22 19:13:00,241.16,81,2022,3
398,2022-03-22 19:16:00,180.493,81,2022,3
399,2022-03-22 19:20:00,250.173,81,2022,3
400,2022-03-22 19:23:00,177.0,81,2022,3
401,2022-03-22 19:24:00,69.071,81,2022,3
402,2022-03-22 19:29:00,207.626,81,2022,3
403,2022-03-22 19:34:00,237.453,81,2022,3
406,2022-03-22 19:37:00,7.815,81,2022,3
407,2022-03-22 19:37:00,188.92,81,2022,3
404,2022-03-22 19:37:00,1.528,81,2022,3
405,2022-03-22 19:37:00,2.603,81,2022,3
408,2022-03-22 19:41:00,209.213,81,2022,3
409,2022-03-22 19:45:00,260.253,81,2022,3
410,2022-03-22 19:49:00,252.52,81,2022,3
411,2022-03-22 19:54:00,281.12,81,2022,3
412,2022-03-22 19:56:00,127.546,81,2022,3
413,2022-03-22 20:01:00,263.373,81,2022,3
414,2022-03-22 20:06:00,250.188,81,2022,3
415,2022-03-22 20:10:00,236.72,81,2022,3
416,2022-03-22 20:13:00,234.074,81,2022,3
417,2022-03-22 20:17:00,241.586,81,2022,3
418,2022-03-22 20:20:00,123.986,81,2022,3
419,2022-03-22 20:23:00,189.486,81,2022,3
420,2022-03-22 20:26:00,216.386,81,2022,3
421,2022-03-22 20:30:00,211.293,81,2022,3
422,2022-03-22 20:32:00,115.254,81,2022,3
423,2022-03-22 20:35:00,220.146,81,2022,3
424,2022-03-22 20:40:00,297.0,81,2022,3
425,2022-03-22 20:44:00,207.333,81,2022,3
426,2022-03-22 20:48:00,229.493,81,2022,3
427,2022-03-22 20:52:00,222.36,81,2022,3
428,2022-03-22 20:56:00,248.586,81,2022,3
429,2022-03-22 21:00:00,222.093,81,2022,3
430,2022-03-22 21:11:00,74.254,81,2022,3
431,2022-03-23 15:26:00,196.277,82,2022,3
432,2022-03-23 15:29:00,203.06,82,2022,3
433,2022-03-23 15:32:00,161.786,82,2022,3
434,2022-03-23 15:36:00,214.814,82,2022,3
435,2022-03-23 15:39:00,184.559,82,2022,3
436,2022-03-23 15:42:00,181.075,82,2022,3
437,2022-03-23 15:45:00,0.0,82,2022,3
438,2022-03-23 15:45:00,13.997,82,2022,3
